"Campaign name","Ad set name","Delivery status","Delivery level","Reach","Impressions","Frequency","Result type","Results","Cost per result","Amount spent (USD)","CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Reporting starts","Reporting ends"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3896","4286","1.1","Conversions","15.0","33.92","508.83","118.72","104","4.89255372","2.4265049","2026-01-05","2026-01-05"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3441","3822","1.1104166666666668","Conversions","14.0","37.64","527.01","137.89","97","5.43311835","2.53793825","2026-01-12","2026-01-12"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3629","4068","1.1208333333333333","Conversions","13.0","40.42","525.46","129.17","95","5.53119064","2.3352999","2026-01-19","2026-01-19"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3250","3677","1.13125","Conversions","10.0","55.08","550.85","149.81","87","6.33155529","2.36605929","2026-01-26","2026-01-26"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3804","4343","1.1416666666666668","Conversions","13.0","45.38","589.9","135.83","95","6.2094743","2.18742805","2026-02-02","2026-02-02"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3253","3748","1.1520833333333333","Conversions","11.0","50.55","556.01","148.35","89","6.24734082","2.37459979","2026-02-09","2026-02-09"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3567","4147","1.1625","Conversions","11.0","55.17","606.82","146.33","92","6.59587406","2.21847118","2026-02-16","2026-02-16"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3606","4230","1.1729166666666668","Conversions","11.0","58.02","638.25","150.89","94","6.78985919","2.22222222","2026-02-23","2026-02-23"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","2644","3129","1.1833333333333333","Conversions","6.0","94.76","568.53","181.7","75","7.58043805","2.39693193","2026-03-02","2026-03-02"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","2820","3367","1.19375","Conversions","9.0","63.86","574.7","170.69","73","7.8725726","2.16810217","2026-03-09","2026-03-09"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3011","3626","1.2041666666666668","Conversions","10.0","65.79","657.88","181.43","79","8.3275336","2.17870932","2026-03-16","2026-03-16"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3122","3793","1.2145833333333333","Conversions","11.0","65.53","720.84","190.04","84","8.58145511","2.21460585","2026-03-23","2026-03-23"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","4096","5018","1.225","Conversions","9.0","78.58","707.18","140.93","101","7.0018203","2.01275409","2026-03-30","2026-03-30"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3088","3816","1.2354166666666668","Conversions","9.0","75.75","681.77","178.66","80","8.52213502","2.09643606","2026-04-06","2026-04-06"
"SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","active","adset","3416","4256","1.2458333333333333","Conversions","8.0","88.67","709.37","166.67","79","8.97932208","1.85620301","2026-04-13","2026-04-13"
