Campaign name,Ad set name,Delivery status,Delivery level,Reach,Impressions,Frequency,Result type,Results,Cost per result,Amount spent (USD),"CPM (cost per 1,000 impressions)",Link clicks,CPC (cost per link click),CTR (link click-through rate),Reporting starts,Reporting ends
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,6687,1.1,Conversions,2.0,353.33,706.67,105.67818154628384,53,13.33339623,0.79258262,2026-01-05,2026-01-05
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7065,1.1,Conversions,3.0,246.79,740.36,104.79263977353148,56,13.22071429,0.79264,2026-01-12,2026-01-12
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,6653,1.1,Conversions,2.0,346.66,693.31,104.21013076807456,53,13.08132075,0.79663309,2026-01-19,2026-01-19
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,6915,1.1,Conversions,3.0,238.09,714.28,103.294287780188,55,12.98690909,0.79537237,2026-01-26,2026-01-26
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,6616,1.1,Conversions,3.0,225.76,677.29,102.37152357920192,53,12.7790566,0.80108827,2026-02-02,2026-02-02
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7059,1.1,Conversions,3.0,238.77,716.32,101.4761297634226,57,12.56701754,0.80747981,2026-02-09,2026-02-09
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7376,1.1,Conversions,3.0,246.5,739.51,100.25894793926248,60,12.32516667,0.81344889,2026-02-16,2026-02-16
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7030,1.1,Conversions,3.0,232.05,696.15,99.02560455192034,58,12.00258621,0.82503556,2026-02-23,2026-02-23
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7813,1.1,Conversions,3.0,253.83,761.5,97.46576219121977,65,11.71538462,0.83194676,2026-03-02,2026-03-02
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7566,1.1,Conversions,3.0,243.36,730.08,96.49484536082474,64,11.4075,0.84588951,2026-03-09,2026-03-09
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7787,1.1,Conversions,4.0,185.24,740.94,95.15089251316296,66,11.22636364,0.84756646,2026-03-16,2026-03-16
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7210,1.1,Conversions,3.0,225.72,677.16,93.91955617198334,62,10.92193548,0.85991678,2026-03-23,2026-03-23
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7128,1.1,Conversions,4.0,164.97,659.88,92.57575757575758,62,10.64322581,0.86980918,2026-03-30,2026-03-30
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,7376,1.1,Conversions,4.0,167.59,670.36,90.88394793926248,65,10.31323077,0.88123644,2026-04-06,2026-04-06
SEO - DFY - NEW LINES,"XYZ-BKN600 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –",active,adset,0,8287,1.1,Conversions,4.0,185.17,740.7,89.38095812718716,74,10.00945946,0.89296489,2026-04-13,2026-04-13
