Campaign report
"January 18, 2026 - January 18, 2026"
Day,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Campaign type,TrueView avg. CPV,Avg. CPM,Interactions,Interaction rate,Clicks,Cost,Avg. cost,Results
2026-01-18,Enabled,Cluster Grouped | Motivated/Distressed/PreForeclosure/Off-Market/Wholesale,10.00, --,Daily,USD,Eligible (Limited),limited by budget; unknown,Search,0,412.78,2,11.11%,2,7.43,3.72,0
2026-01-18,Paused,SFRI Video - Drive conversions Wholesale Real Estate - 11/24 #2,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,TOFU I LeadsVideo Conversions I W30 I 22 #2,5.00, --,Daily,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,TOF I SEO 4 REI I Video Conversions  (Real State Agents) I W23 I 22 #2,21.00, --,Daily,USD,Paused,campaign paused,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Video Ads Prospecting #2,3.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - Drive conversions Real Estate broad - 11/24 #2,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,YT for cvr I SEO 4 REI I Segment Real Estate I W29 I 2022 #2,5.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Google Call YT 1 #2,10.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SHORTS - ABO #2,23.00, --,Daily,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Youtube 15.09 #2,10.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Video YT 1 - 2021-09-08 #2,5.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Youtube 02.09 #2,40.00, --,Daily,USD,Paused,campaign paused; All ad groups paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,Video Ads Follow UP #2,3.00, --,Daily,USD,Paused,campaign paused; No ads,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,A - Black Friday 2024 - Drive conversions - 11/24 #2,5.00, --,Daily,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GH Live event 1124 COOKIECUTTER  - Drive conversions - 11/17 #2,100.00, --,Daily,USD,Paused,campaign paused; unknown,Demand Gen,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - PLACEMENT -Sean Terry,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GrumpyHare Search Broad 12-24,30.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Search Phrase-11/24,30.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - Retargeting - 11/24,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - PLACEMENT Topic - 11/24,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Search Broad-11/24,30.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Search Exact-11/24,30.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - PLACEMENT Keywords - 11/24,5.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,SFRI Video - PLACEMENT -Channel 1- 11/24,30.00, --,Daily,USD,Paused,campaign paused; some ads disapproved,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GrumpyHare Search Phrase 12-24,50.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GrumpyHare Search Exact 12-24,50.00, --,Daily,USD,Paused,campaign paused; missing lead form extension; unknown,Search,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,A - Black Friday 2024 - PLACEMENT Topic - 11/24,5.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,A - Black Friday 2024 - PLACEMENT -Channel- 11/24,5.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,A - Black Friday 2024 - Remarketing - 11/24,5.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,A - Black Friday 2024 - PLACEMENT Keywords - 11/24,5.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GH Live event 1124 COOKIECUTTER- PLACEMENT Keywords - 11/17,10.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GH Live event 1124 COOKIECUTTER - PLACEMENT Topic - 11/17,10.00, --,Daily,USD,Paused,campaign paused; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GH Live event 1124 COOKIECUTTER - Remarketing - 11/17,100.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,GH Live event 1124 COOKIECUTTER- PLACEMENT -Channel- 11/17,300.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
2026-01-18,Paused,TopYT1 - B - Angle 1: [$50K-$100K] - Creative: [WEBSITE] - PLACEMENT Channels- 11/15,10.00, --,Daily,USD,Paused,campaign paused; campaign ended; unknown,Video,0,0,0, --,0,0.00,0,0
