```python
import pandas as pd
import numpy as np
import datetime
import csv

# Static Info
platform = "facebook"
campaign_name = "SEO - DFY - NEW LINES"
ad_group_name = "DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –"
ad_identity = "DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –"

# Date Setup
start_date = datetime.date(2026, 1, 1)
end_date = datetime.date(2027, 12, 31)
dates = pd.date_range(start=start_date, end=end_date, freq='W-MON')

# Metrics Setup
# Baseline (Rest of the year)
base_ctr = 0.010  # 1.0%
base_cvr = 0.05   # 5%
base_cpc = 12.00  # $12
base_budget = 500.00

# Seasonal Multipliers (Nov & Dec)
# "Performance metrics improve by 50%"
seasonal_ctr_mult = 1.5
seasonal_cvr_mult = 1.5
seasonal_cpc_mult = 0.8 # Cost improves (lowers)
seasonal_budget_mult = 1.5 # Spend more during season

data = []
current_id = 3432 

for i, date in enumerate(dates):
    row_date = date.date()
    
    # Check for Seasonality (Nov = 11, Dec = 12)
    is_season = row_date.month in [11, 12]
    
    if is_season:
        curr_ctr = base_ctr * seasonal_ctr_mult
        curr_cvr = base_cvr * seasonal_cvr_mult
        curr_cpc = base_cpc * seasonal_cpc_mult
        curr_budget = base_budget * seasonal_budget_mult
    else:
        curr_ctr = base_ctr
        curr_cvr = base_cvr
        curr_cpc = base_cpc
        curr_budget = base_budget
        
    # Add Noise
    curr_ctr *= np.random.normal(1.0, 0.05)
    curr_cvr *= np.random.normal(1.0, 0.1)
    curr_cpc *= np.random.normal(1.0, 0.05)
    curr_spend = curr_budget * np.random.normal(1.0, 0.05)
    
    # Safety checks
    curr_ctr = max(0.001, curr_ctr)
    curr_cvr = max(0.001, curr_cvr)
    curr_cpc = max(0.01, curr_cpc)
    
    # Derive Count Metrics
    clicks = int(curr_spend / curr_cpc)
    if clicks < 0: clicks = 0
    
    if curr_ctr > 0:
        impressions = int(clicks / curr_ctr)
    else:
        impressions = 0
        
    conversions = int(clicks * curr_cvr)
    
    # Derive Display Metrics
    cpa = curr_spend / conversions if conversions > 0 else ""
    ctr_disp = (clicks / impressions * 100) if impressions > 0 else 0
    cpc_disp = curr_spend / clicks if clicks > 0 else 0
    
    row = {
        "id": current_id + i,
        "platform": platform,
        "campaign_name": campaign_name,
        "ad_group_name": ad_group_name,
        "ad_identity": ad_identity,
        "spend": round(curr_spend, 2),
        "impressions": impressions,
        "clicks": clicks,
        "conversions": conversions if conversions > 0 else "",
        "cpa": round(cpa, 2) if isinstance(cpa, float) else "",
        "ctr": round(ctr_disp, 8),
        "cpc": round(cpc_disp, 8),
        "quality_score": 0,
        "impr_share": 0.0,
        "frequency": 1.1,
        "reporting_date": row_date.strftime('%Y-%m-%d')
    }
    data.append(row)

df_out = pd.DataFrame(data)
csv_output = df_out.to_csv(index=False, quoting=csv.QUOTE_ALL)
print(csv_output)


```

```text
"id","platform","campaign_name","ad_group_name","ad_identity","spend","impressions","clicks","conversions","cpa","ctr","cpc","quality_score","impr_share","frequency","reporting_date"
"3432","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","437.09","3669","37","1","437.09","1.00844917","11.81322515","0","0.0","1.1","2026-01-05"
"3433","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","492.04","4124","39","1","492.04","0.9456838","12.61646869","0","0.0","1.1","2026-01-12"
"3434","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","536.18","4096","40","1","536.18","0.9765625","13.40453365","0","0.0","1.1","2026-01-19"
"3435","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","479.16","4363","42","2","239.58","0.96264039","11.40855634","0","0.0","1.1","2026-01-26"
"3436","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","502.99","4074","42","2","251.49","1.03092784","11.97594839","0","0.0","1.1","2026-02-02"
"3437","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","562.21","4193","43","2","281.11","1.02551872","13.07469854","0","0.0","1.1","2026-02-09"
"3438","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","481.26","3894","40","2","240.63","1.02722137","12.03160864","0","0.0","1.1","2026-02-16"
"3439","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","520.97","4617","45","2","260.48","0.97465887","11.57707588","0","0.0","1.1","2026-02-23"
"3440","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","556.8","4664","45","2","278.4","0.96483705","12.37324138","0","0.0","1.1","2026-03-02"
"3441","facebook","SEO - DFY - NEW LINES","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","DFY-BKN420 | I Hear It All The Time | 3 minutes BPCON2021, Alex Review Video |  Lookalike(US,3%-4%)-340-ROWS  – 09/30 –","457.5","3458","37","1","457.5","1.06998265","12.36489377","0","0.0","1.1","2026-03-09"
